hydro_rum_name,label_abv,hydro_abv,additives_g_l,hydro_source,name,company,country,ratings,score,type,rum_url,img_url,br_score,id,itemId,itemNumber,company_name,name2,price,volume,pricePerLiter,salesStart,packaging,seal,origin,countryOfOrigin,producer,supplier,vintage,alcoholByVolume,assortment,organic,kosher,base,price_per_liter_usd
NA,NA,NA,NA,NA,Ron Zacapa 23 Black Label,Ron Zacapa,Guatemala,34,9.1,Aged,/brands/1318-ron-zacapa-23-black-label,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1318/small_ron_zacapa_23_black_label_rum_orginal_400px.png,8.026389012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Ron Zacapa 23 Solera,Ron Zacapa,Guatemala,1675,7.6,Aged,/brands/853-ron-zacapa-23-solera,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/853/small_ron-zacapa-23-solera.png,7.581191604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Ron Zacapa 30 Aniversario,Ron Zacapa,Guatemala,48,9.3,Aged,/brands/1071-ron-zacapa-30-aniversario,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1071/small_Ron_Zacapa_30_Aniversario.png,8.4422484270000009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Ron Zacapa Ambar 12,Ron Zacapa,Guatemala,25,6.3,Aged,/brands/6175-ron-zacapa-ambar-12,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/6175/small_ron-zacapa-ambar-12.png,5.827473041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Ron Zacapa Centenario 15,Ron Zacapa,Guatemala,87,7.2,Aged,/brands/852-ron-zacapa-centenario-15,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/852/small_Ron_Zacapa_Centenario_15_rum.png,6.922848965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Ron Zacapa Centenario 23,Ron Zacapa,Guatemala,64,8.6,Aged,/brands/1283-ron-zacapa-centenario-23,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1283/small_Ron_Zacapa_Centenario_23_rum.png,8.029158319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Ron Zacapa Centenario XO Premio Platino,Ron Zacapa,Guatemala,39,8.9,Aged,/brands/1674-ron-zacapa-centenario-xo-premio-platino,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1674/small_Ron_Zacapa_Centenario_XO_Premio_Platino_rum.png,7.977970972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Ron Zacapa Edicion Negra,Ron Zacapa,Guatemala,109,7.6,Aged,/brands/3704-ron-zacapa-edicion-negra,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/3704/small_ron-zacapa-edicion-negra.png,7.336207671,8530201,1161063,85302,Ron Zacapa,Edicion Negra,749,700,1070,2016-12-01,Flaska,NA,NA,Guatemala,Diageo Plc,Diageo Sweden AB,NA,43.00%,BS,FALSE,FALSE,NA,117.7
NA,NA,NA,NA,NA,Ron Zacapa Etiqueta Negra,Ron Zacapa,Guatemala,60,7.8,Aged,/brands/1714-ron-zacapa-etiqueta-negra,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1714/small_ron_zacapa_etiqueta_negra_rum_400px_b.png,7.32320965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Ron Zacapa 2014 Reserva Limitada,Ron Zacapa,Guatemala,59,8,Aged,/brands/1676-ron-zacapa-2014-reserva-limitada,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1676/small_Ron_Zacapa_Reserva_Limitada_2014_rum.png,7.484444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,Ron Zacapa 2013 Reserva Limitada,Ron Zacapa,Guatemala,25,8.4,Aged,/brands/1583-ron-zacapa-2013-reserva-limitada,https://d19vk5i0q1xlsm.cloudfront.net/uploads/brand/image/1583/small_Ron_Zacapa_Reserva_Limitada_2013_rum.png,7.276625278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
